Sample,M/Z,Substrate,Simulated-m/z,SimulatedFormula,Retention Time (sec),Value
CPD041_KGD010,336.1437,CPD041,336.1502154637,C17H23N2O3S1,67.62,81422.89929615054
CPD041_KGD079,336.1437,CPD041,336.1502154637,C17H23N2O3S1,67.62,77268.89929615054
CPD041_KGD010,365.1144,CPD041,365.116570368,C17H20N2O5S1,58.6,550555.0
CPD041_KGD026,365.1144,CPD041,365.116570368,C17H20N2O5S1,58.6,514086.0
CPD041_KGD005,365.1144,CPD041,365.116570368,C17H20N2O5S1,59.68,278099.0
CPD041_KGD007,365.1144,CPD041,365.116570368,C17H20N2O5S1,59.68,88637.0
CPD041_KGD008,365.1144,CPD041,365.116570368,C17H20N2O5S1,59.68,534191.0
CPD041_KGD009,365.1144,CPD041,365.116570368,C17H20N2O5S1,59.68,560098.0
CPD041_KGD010,365.1144,CPD041,365.116570368,C17H20N2O5S1,59.68,192157.0
CPD041_KGD026,365.1144,CPD041,365.116570368,C17H20N2O5S1,59.68,206166.0
CPD041_KGD043,365.1144,CPD041,365.116570368,C17H20N2O5S1,59.68,128224.0
CPD041_KGD007,351.1345,CPD041,351.1373054318,C17H22N2O4S1,63.9,1213828.0
CPD041_KGD014,351.1345,CPD041,351.1373054318,C17H22N2O4S1,63.9,220413.0
CPD041_KGD026,351.1345,CPD041,351.1373054318,C17H22N2O4S1,63.9,839663.0
CPD041_KGD041,351.1345,CPD041,351.1373054318,C17H22N2O4S1,63.9,257652.0
CPD041_KGD045,351.1345,CPD041,351.1373054318,C17H22N2O4S1,63.9,166783.0
CPD041_KGD069,351.1345,CPD041,351.1373054318,C17H22N2O4S1,63.9,103115.0
CPD041_KGD007,352.1381,CPD041,352.1451304637,C17H23N2O4S1,63.99,206813.0
CPD041_KGD026,352.1381,CPD041,352.1451304637,C17H23N2O4S1,63.99,136883.0
CPD041_KGD021,349.1194,CPD041,349.121655368,C17H20N2O4S1,63.5,127792.3670694488
CPD041_KGD077,349.1194,CPD041,349.121655368,C17H20N2O4S1,63.5,110190.3670694488
CPD041_KGD085,349.1194,CPD041,349.121655368,C17H20N2O4S1,63.5,150157.3670694488
CPD041_KGD010,366.1172,CPD041,366.1243953999,C17H21N2O5S1,58.5,134777.0
CPD041_KGD026,366.1172,CPD041,366.1243953999,C17H21N2O5S1,58.5,110179.0
